id;propietario;numero_exp;ufinca;plano_exp;area_exp;tipo_exp;seccion;finca_madre;monto_ava;valor_m2;num_ava;condicion
1;privado;2019-07;;A-2138051-2019;239;parcial;2;2-00127074;11847785;49572.33;008-2019;en proceso
2;privado;2019-12;;A-2147891-2019;668;parcial;2;2-00420477;0;0;027-2019;sin iniciar
3;privado;2019-07;;A-2140536-2019;146;parcial;2;2-00127074;11847785;81149.22;008-2019;en proceso
4;privado;2019-10;;A-2143361-2019;102;parcial;2;2-00014826;2675267;26228.11;029-2019;en proceso
5;privado;2019-20;;A-2140795-2019;90;parcial;3;2-00494506;0;0;;sin iniciar
6;privado;2019-21;;A-2139758-2019;78;parcial;3;2-00253834;0;0;;sin iniciar
7;privado;2019-23;;A-2139764-2019;313;parcial;3;2-00284397;0;0;;sin iniciar
8;del estado;2019-31;2-00592803;A-2156259-2019;244;parcial;2;2-00181977;14255264;58423.22;037-2019;finalizado
9;privado;;;SIII-23-66;30;parcial;3;;0;0;;sin iniciar
10;del estado;2020-04;1-00722652;SJ-2196853-2020;18;parcial;1;1-00555111;8590914;477273;002-2020;finalizado
11;del estado;2019-22;2-00590714;A-2151835-2019;823;parcial;2;2-00212957;10981175;13342.87;035-2019;finalizado
12;del estado;2019-19;2-00630252;A-2154217-2019;2349;parcial;2;2-00080285;33034184;14063.09;036-2019;finalizado
13;privado;;;SIII-23-69;50;parcial;3;;0;0;;sin iniciar
14;privado;;;SIII-23-70;60;parcial;3;;0;0;;sin iniciar
15;privado;;;SIII-23-72;70;parcial;3;2-00284414;0;0;;sin iniciar
16;privado;2023-02;;SJ-0018086-2023;166;parcial;1;1-00547774;56700000;341566.27;;en proceso
17;del estado;2018-04;1-00705708;SJ-2092430-2018;2617;parcial;1;1-00697801;961453725;367387.75;;finalizado
18;del estado;2018-05;1-00697802;SJ-2057664-2018;615;parcial;1;1-00306901;240953191;391793.81;003-2019;finalizado
19;del estado;2018-06;1-00705620;SJ-2092044-2018;1183;parcial;1;1-00306901;472908486;399753.59;;finalizado
20;privado;;;A-0038800-2023;68;parcial;3;2-00341122;0;0;;sin iniciar
21;privado;;;SIII-23-76;80;parcial;3;;0;0;;sin iniciar
22;privado;;;SIII-23-77;90;parcial;3;;0;0;;sin iniciar
23;privado;;;SIII-23-82;100;parcial;3;;0;0;;sin iniciar
24;privado;;;SIII-23-85;200;parcial;3;;0;0;;sin iniciar
25;privado;;;SIII-23-86;150;parcial;3;;0;0;;sin iniciar
26;privado;;;SIII-23-87-2;300;parcial;3;2-00450725;0;0;;sin iniciar
27;privado;;;SIII-23-87-3;500;parcial;3;2-00452506;0;0;;sin iniciar
28;del estado;2020-06;1-00730964;SJ-2196855-2020;110;parcial;1;1-00545083;40174331;365221.2;010-2021;finalizado
29;del estado;2019-05;2-00593814;A-2140785-2019;252;parcial;2;2-00245936;7641744;30324.39;011-2019;finalizado
30;privado;2023-03;;SJ-2298226-2021;224;parcial;2;1-00419969;31900000;142410.72;;en proceso
31;privado;2023-04;;A-0042950-2023;1010;parcial;2;2-00520295;0;0;;en proceso
32;privado;SN;;P-0045130-2022;454;parcial;3;6-00149011;18160000;40000;;en proceso
33;del estado;2019-06;2-00588495;A-2132716-2019;2146;parcial;2;2-00119874;57068064;26592.77;012-2019;finalizado
34;del estado;2019-06;2-00588494;A-2132714-2019;806;parcial;2;2-00119874;57068064;70804.05;012-2019;finalizado
35;del estado;2019-04;2-00590906;A-2140093-2019;1021;parcial;2;2-00129658;6589501;6453.97;014-2019;finalizado
36;privado;SN;;P-0031542-2022;3016;parcial;3;6-00096725;120640000;40000;;en proceso
37;del estado;2019-03;2-00594273;A-2135052-2019;57;parcial;2;2-00519996;4814767;84469.6;005-2019;finalizado
38;del estado;2019-08;2-00590851;A-2135051-2019;31;parcial;2;2-00528217;5877022;189581.36;004-2019;finalizado
39;del estado;2019-09;2-00632449;A-2135935-2019;60;parcial;2;2-00524949;8799991;146666.52;006-2019;finalizado
40;privado;2019-30;;A-2154236-2019;145;parcial;2;2-00096824;36702822;253122.92;034-2019;en proceso
41;privado;2020-01;;A-2186438-2020;466;parcial;2;2-00035838;4020588;8627.88;038-2019;en proceso
42;privado;2019-28;;A-2139759-2019;177;parcial;2;2-00420488;0;0;;desestimado
43;privado;2019-29;;A-2139762-2019;584;parcial;3;2-00284398;0;0;;desestimado
44;privado;2020-02;;A-2202939-2020;3256;parcial;2;2-00266346;181868401;55856.39;005-2020;en proceso
45;privado;2020-02;;A-2202938-2020;1301;parcial;2;2-00266346;181868401;139791.24;005-2020;en proceso
46;privado;2020-02;;A-2205697-2020;11748;parcial;2;2-00266346;181868401;15480.8;005-2020;en proceso
47;privado;2020-03;;A-2202947-2020;1019;parcial;2;2-00090926;16588710;16279.41;007-2020;en proceso
48;privado;2020-05;;SJ-2225589-2020;976;parcial;1;1-00542465;187584034;192196.76;003-2020;en proceso
49;privado;;;A-0039430-2023;317;parcial;3;2-00247227;0;0;;sin iniciar
50;del estado;2020-07;1-00715245;SJ-2196857-2020;84;parcial;1;1-00277472;73240681;871912.87;008-2020;finalizado
51;privado;;;SIII-23-87-5;250;parcial;3;2-00448467;0;0;;sin iniciar
52;privado;;;SIII-23-87-7;300;parcial;3;2-00283196;0;0;;sin iniciar
53;privado;;;SIII-23-92;320;parcial;3;;0;0;;sin iniciar
54;privado;;;SIII-23-93;200;parcial;3;;0;0;;sin iniciar
55;privado;;;SIII-23-98-1;150;parcial;3;6-00100541;0;0;;sin iniciar
56;privado;;;SIII-23-99-1;180;parcial;3;6-00097558;0;0;;sin iniciar
57;privado;;;SIII-23-100;160;parcial;3;;0;0;;sin iniciar
