ID,Pto,Expediente,Plano,Estacionamiento,Margen(1-2),Condición,Ubicacion,Latitud,Longitud
1,--,N/A,--,0+000,I,No se requiere expropiación,SABANA,9.932422222,-84.09827778
2,30,N/A,--,1+180,I,No se requiere expropiación,SABANA,9.933363889,-84.10904444
3,31,N/A,--,1+230,I,No se requiere expropiación,SABANA,9.933411111,-84.10950278
4,32,N/A,--,1+260,I,No se requiere expropiación,SABANA,9.933530556,-84.110025
5,--,N/A,--,1+634,I,No se requiere expropiación,SABANA,9.935138889,-84.11270278
6,--,N/A,--,2+100,D,Valorar Afectación,IC-CIRCUNVALACIÓN,9.936825,-84.11613889
7,--,24593,A-0095488-1993,22+440,D,Expropiación Concluida,RADIAL EL COYOL,9.965497222,-84.27988611
8,--,24722,A-103387-1993,24+660,D,Expropiación Concluida,PASO INFERIOR CAR,9.965888889,-84.29947222
9,--,24728, A-0245829-1995,--,--,--,--,9.965888889,-84.29947222
10,--,--,A-1699083-2013,25+120,I,Expropiación Concluida,ZONA DE PESAJE,9.965261111,-84.30366111
11,--,--,A-1336913-2009,--,--,--,--,9.965261111,-84.30366111
12,29,24885,A-298672-2000,29+700,I,Valorar Afectación,ENTRADA PUENTE RIO GRANDE,9.964133333,-84.34406944
13,--,25423,A-0965399-1991,30+500,I,Valorar Afectación,SALIDA PUENTE RIO GRANDE,9.963169444,-84.35066111
14,--,27227,A-0755316-2001,--,I,--,--,9.963169444,-84.35066111
15,--,--,A-0847928-2003,--,I,--,--,9.963169444,-84.35066111
16,--,24968,A-0977141-1991,34+720,I,Expropiación Concluida,RADIAL BALSA,9.942858333,-84.37770556
17,--,2020-11,A-2212209-2020,35+600,I,Expropiación Concluida,BALSA,9.941216667,-84.38555278
18,--,2020-11,A-2212210-2020,35+800,I,Expropiación Concluida,BALSA,9.941086111,-84.38765306
19,--,24883,A-1005844-2005,36+220,I,No concluido // hay que regularizarlo,INDER BALSA,9.938333333,-84.39603611
20,--,---,A-957433-1991,36+700,I,Expropiación Concluida,INDER BALSA,9.938377778,-84.39603611
21,1,26005,A-0721911-2001,37+700,I,Expropiación Concluida,ROLANDO ROJAS Y COMPAÑÍA,9.937686111,-84.40103611
22,--,2012-12,A-1589019-2012,38+000,I,Expropiación Concluida,ROLANDO ROJAS Y COMPAÑÍA,9.9371,-84.40230556
23,--,27208,A-0763638-2002,--,D,Expropiación Concluida,LA PERFECTA,9.937119444,-84.40328333
24,2,27 208,A-0763638-2002,38+100,--,--,--,9.937119444,-84.40328333
25,3,27 208,A-0763638-2002,38+200,--,--,--,9.936861111,-84.40411667
26,4,27 208,A-0763638-2002,38+350,--,--,--,9.936861111,-84.40411667
27,5,27 208,A-0763638-2002,38+500,--,--,--,9.937261111,-84.40592222
28,--,2021-02,A-2267814-2012,38+600,D,Expropiación Concluida,CUATRO CHICAS DEL ZURQUÍ,9.935983333,-84.40723333
29,--,2019-17,A-21368623-2019,38+700,D,Expropiación Concluida,--,9.936252778,-84.40894444
30,14,--,--,38+800/LC-38+940,D,Valorar Afectación,--,9.937227778,-84.41225278
31,15,--,--,39+100,D,Valorar Afectación,--,9.936919444,-84.41305556
32,16,--,--,39+150,D,Valorar Afectación,--,9.936352778,-84.41363056
33,17,--,--,39+200,D,Valorar Afectación,--,9.936352778,-84.41363056
34,18,--,--,41+000,D,Valorar Afectación,QUEBRADA LAPAS,9.935697222,-84.42620278
35,6,25 089,A-0369319-1996,43+600/LC-43+740,D,Valorar Afectación,QUEBRADAS,9.92825,-84.44651667
36,--,26087,A-0703940-1987,43+650,D,Valorar Afectación,QUEBRADAS,9.928352778,-84.44686111
37,--,25069,A-0357101-1991,43+700,D,Valorar Afectación,QUEBRADAS,9.928469444,-84.44731944
38,--,26043,A-0703941-1987,43+750,D,Valorar Afectación,QUEBRADAS,9.928583333,-84.44770278
39,--,25071,A-0363096-1996,43+800,I,Valorar Afectación,QUEBRADAS,9.928658333,-84.44906389
40,--,--,--,43+850,D,Valorar Afectación-No Iniciado,QUEBRADAS,9.928763889,-84.44869444
41,7,--,--,44+500/LC-44+253,D,Valorar Afectación,VIADUCTO,9.928669444,-4.454455556
42,8,--,--,44+600/LC-44+585,D,Valorar Afectación,VIADUCTO,9.928669444,-84.45583333
43,9,NO SE INDICA,A-2202995-2020,45+800,D,Valorar Afectación-No Iniciado,RIO CONCEPCIÓN,9.924938889,-84.46593889
44,10,NO SE INDICA,A-2203578-2020,45+850,D,Valorar Afectación-No Iniciado,RIO CONCEPCIÓN,9.924938889,-84.46611389
45,11,NO SE INDICA,A-2203578-2020,45+850,D,Valorar Afectación-No Iniciado,RIO CONCEPCIÓN,9.924152778,-84.46738611
46,12,NO SE INDICA,A-2202996-2020,45+950,D,Valorar Afectación-No Iniciado,RIO CONCEPCIÓN,9.920861111,-84.46827778
47,13,2020-22,A-2202997-2020,46+050,D,Expropiación Concluida,HACIENDA IMPERIO REAL,9.920861111,-84.46827778
48,19,24 980,A-0273656-1995,46+300,D,Expropiación Concluida,LOS SALITRALES,9.921861111,-84.471375
49,20,--,--,46+550,D,Expropiación Concluida,LOS SALITRALES,9.921313889,-84.47298611
50,21.22.23,--,--,47+400,D,Expropiación Concluida,LOS SALITRALES,9.920127778,-84.47528333
51,24.25.26,--,--,47+600,D,Expropiación Concluida,LOS SALITRALES,9.920113889,-84.47604167
52,27,--,--,--,D,Valorar Afectación,LOS SALITRALES,9.919513889,-84.47706944
53,28,--,--,--,D,Valorar Afectación,LOS SALITRALES,9.919513889,-84.47706944
54,--,23600,P-0364609-1996,76+380,D,Valorar Afectación,IC-CALDERA,9.917091667,-84.71176944
